category	catid	basearea	county	distance	dayspassed	categoryscore	output
droughts	1	"51.452464, -0.953699"	County Durham	30	341	0.02	no
watercolor	7	"53.190142,-2.886673"	East Sussex	10	50	1	yes
droughts	1	"51.360609, 0.159776"	Surrey	79	474	0.02	no
earthquakes	3	"50.756389, -4.388045"	Surrey	41	107	0.04	no
droughts	1	"50.821384, -0.150627 "	Oxfordshire	82	626	0.01	no
dusthaze	8	"52.250454,0.398549"	Northumberland	37	607	0.01	no
dusthaze	8	"52.25256,0.397124"	Greater London	88	257	0.03	no
tempextremes	5	"52.192267,0.137208"	Gloucestershire	10	264	0.03	no
wildfire	2	"53.74219, -2.474858"	West Midlands	96	402	0.02	no
wildfire	2	"52.914939, -1.465616"	Greater London	78	547	0.02	no
floods	4	"52.500218, -1.708418"	City of London	53	207	0.03	no
watercolor	7	"53.190042,-2.887631"	Tyne and Wear	35	519	0.02	no
floods	4	"52.501051, -1.707499"	Cheshire	91	404	0.02	no
wildfire	2	"53.746292, -2.476193"	Nottinghamshire	21	258	0.03	no
volcanoes	6	"54.894814,-2.930434"	County Durham	58	95	0.04	no
earthquakes	3	"50.748493, -4.414607"	North Yorkshire	92	172	0.03	no
tempextremes	5	"51.378849,-2.355562"	Gloucestershire	32	437	0.02	no
dusthaze	8	"52.501578, -1.703127"	City of London	26	271	0.03	no
wildfire	2	"53.744282, -2.473274"	Suffolk	90	596	0.02	no
earthquakes	3	"53.621367, -0.559812"	Surrey	18	646	0.01	no
volcanoes	6	"54.894791,-2.931089"	Merseyside	81	49	0.07	yes
floods	4	"52.500609, -1.707671"	County Durham	86	629	0.01	no
watercolor	7	"53.18945,-2.888651"	West Midlands	65	536	0.02	no
floods	4	"51.438727,-2.347839"	Cheshire	98	51	0.04	no
volcanoes	6	"54.893917,-2.931381"	Tyne and Wear	33	378	0.02	no
severestorms	9	"52.388014, -1.958608"	Nottinghamshire	32	34	0.07	yes
wildfire	2	"52.914939, -1.465616"	Merseyside	16	287	0.03	no
volcanoes	6	"54.893917,-2.931381"	Surrey	84	489	0.02	no
watercolor	7	"53.190042,-2.887631"	Shropshire	63	165	0.03	no
watercolor	7	"53.18945,-2.888651"	County Durham	14	66	0.04	no
dusthaze	8	"52.352438,0.420868"	Nottinghamshire	64	122	0.04	no
wildfire	2	"52.914939, -1.465616"	0	89	167	0.03	no
earthquakes	3	"53.621041, -0.559832"	Kent	43	520	0.02	no
tempextremes	5	"51.378849,-2.355562"	West Sussex	39	48	0.07	yes
watercolor	7	"53.188509,-2.892222"	Shropshire	73	110	0.04	no
floods	4	"52.500218, -1.708418"	East Sussex	14	104	0.04	no
severestorms	9	"51.230545, -2.190775"	Gloucestershire	39	303	0.02	no
earthquakes	3	"53.621367, -0.559812"	Gloucestershire	73	207	0.03	no
watercolor	7	"53.18945,-2.888651"	West Midlands	15	249	0.03	no
severestorms	9	"51.230545, -2.190775"	Nottinghamshire	18	526	0.02	no
severestorms	9	"51.230545, -2.190775"	Greater London	28	655	0.01	no
volcanoes	6	"54.894346,-2.931702"	East Sussex	85	317	0.02	no
droughts	1	"51.303163, -0.086941"	Cheshire	82	269	0.03	no
dusthaze	8	"52.25256,0.397124"	East Sussex	51	156	0.03	no
wildfire	2	"53.650733, -2.310556"	Gloucestershire	53	11	0.07	yes
wildfire	2	"53.64867, -2.309635"	Oxfordshire	91	44	0.07	yes
floods	4	"52.502267, -1.70836"	City of London	59	318	0.02	no
watercolor	7	"53.18945,-2.888651"	Kent	41	123	0.04	no
tempextremes	5	"52.192267,0.137208"	City of London	81	20	0.07	yes
volcanoes	6	"54.894791,-2.931089"	Buckinghamshire	66	625	0.01	no
watercolor	7	"53.190142,-2.886673"	Derbyshire	81	694	0.01	no
earthquakes	3	"50.750023, -4.395419"	Gloucestershire	27	108	0.04	no
volcanoes	6	"54.893532,-2.930093"	Nottinghamshire	15	198	0.03	no
earthquakes	3	"53.655566, -0.787796"	West Midlands	33	163	0.03	no
watercolor	7	"53.188607,-2.889651"	Lincolnshire	66	515	0.02	no
wildfire	2	"53.744175, -2.477564"	Greater London	98	695	0.01	no
dusthaze	8	"52.352438,0.420868"	Gloucestershire	95	635	0.01	no
dusthaze	8	"52.501578, -1.703127"	West Midlands	20	159	0.03	no
dusthaze	8	"52.501578, -1.703127"	Merseyside	87	127	0.04	no
droughts	1	"51.34255, -0.766427"	Greater Manchester	70	659	0.01	no
wildfire	2	"53.743042, -2.477049"	West Sussex	22	464	0.02	no
floods	4	"51.430593,-2.408768"	County Durham	31	327	0.02	no
tempextremes	5	"51.378849,-2.355562"	Surrey	76	152	0.03	no
earthquakes	3	"53.621936, -0.561011"	Lincolnshire	77	83	0.04	no
volcanoes	6	"54.893917,-2.931381"	East Sussex	31	538	0.02	no
droughts	1	"51.301148, -0.080311"	Cheshire	62	51	0.04	no
tempextremes	5	"51.378849,-2.355562"	Essex	65	80	0.04	no
wildfire	2	"52.914939, -1.465616"	Suffolk	81	151	0.03	no
floods	4	"51.438727,-2.347839"	City of London	16	592	0.02	no
dusthaze	8	"52.252009,0.397695"	Greater London	81	277	0.03	no
dusthaze	8	"52.250454,0.398549"	City of London	56	188	0.03	no
watercolor	7	"53.18945,-2.888651"	Northumberland	13	579	0.02	no
watercolor	7	"53.187754,-2.887104"	North Yorkshire	10	525	0.02	no
watercolor	7	"53.187754,-2.887104"	Oxfordshire	40	367	0.02	no
wildfire	2	"53.802228, -1.75588"	Essex	85	586	0.02	no
dusthaze	8	"52.501578, -1.703127"	Buckinghamshire	54	333	0.02	no
floods	4	"52.502267, -1.70836"	Nottinghamshire	16	517	0.02	no
dusthaze	8	"52.352438,0.420868"	Nottinghamshire	11	396	0.02	no
earthquakes	3	"53.62355, -0.558431"	West Sussex	84	101	0.04	no
volcanoes	6	"54.894791,-2.931089"	Buckinghamshire	14	590	0.02	no
floods	4	"52.502298, -1.709848"	Shropshire	56	232	0.03	no
watercolor	7	"53.188607,-2.889651"	Northumberland	80	316	0.02	no
wildfire	2	"52.914939, -1.465616"	Derbyshire	81	474	0.02	no
floods	4	"51.430593,-2.408768"	Derbyshire	11	381	0.02	no
floods	4	"52.502298, -1.709848"	Kent	23	617	0.01	no
droughts	1	"50.821384, -0.150627 "	Suffolk	17	172	0.03	no
dusthaze	8	"52.250454,0.398549"	Derbyshire	80	689	0.01	no
earthquakes	3	"53.622679, -0.565709"	Cheshire	39	288	0.03	no
volcanoes	6	"54.894346,-2.931702"	Shropshire	60	397	0.02	no
tempextremes	5	"51.378849,-2.355562"	Lincolnshire	48	231	0.03	no
droughts	1	"51.452464, -0.953699"	Greater Manchester	77	85	0.04	no
watercolor	7	"53.187754,-2.887104"	Tyne and Wear	81	8	0.07	yes
watercolor	7	"53.18945,-2.888651"	Northumberland	95	278	0.03	no
earthquakes	3	"53.622679, -0.565709"	Nottinghamshire	42	586	0.02	no
watercolor	7	"53.188509,-2.892222"	East Sussex	79	46	0.07	yes
tempextremes	5	"51.378849,-2.355562"	Surrey	45	90	0.04	no
volcanoes	6	"54.893917,-2.931381"	North Yorkshire	90	255	0.03	no
floods	4	"51.430593,-2.408768"	Essex	85	247	0.03	no
tempextremes	5	"52.192267,0.137208"	Kent	33	37	0.07	yes
earthquakes	3	"50.736206, -4.392418"	Kent	56	615	0.01	no
earthquakes	3	"53.621041, -0.559832"	Cambridgeshire	14	566	0.02	no
volcanoes	6	"54.893532,-2.930093"	Cheshire	67	607	0.01	no
dusthaze	8	"52.250454,0.398549"	East Sussex	66	105	0.04	no
earthquakes	3	"53.622259, -0.563994"	West Sussex	27	215	0.03	no
earthquakes	3	"53.622245, -0.559065"	County Durham	72	497	0.02	no
volcanoes	6	"54.893917,-2.931381"	Greater London	99	457	0.02	no
dusthaze	8	"52.352438,0.420868"	Shropshire	96	129	0.04	no
earthquakes	3	"53.620984, -0.566366"	East Sussex	66	262	0.03	no
volcanoes	6	"54.893917,-2.931381"	Cheshire	88	562	0.02	no
watercolor	7	"53.190142,-2.886673"	Tyne and Wear	30	571	0.02	no
dusthaze	8	"52.252009,0.397695"	East Sussex	62	441	0.02	no
tempextremes	5	"52.192267,0.137208"	Suffolk	67	657	0.01	no
watercolor	7	"53.188509,-2.892222"	Surrey	30	151	0.03	no
volcanoes	6	"54.893894,-2.929743"	Kent	92	199	0.03	no
volcanoes	6	"54.894791,-2.931089"	North Yorkshire	92	97	0.04	no
severestorms	9	"51.229835, -2.193459"	Tyne and Wear	95	146	0.04	no
dusthaze	8	"52.352438,0.420868"	Greater Manchester	67	216	0.03	no
wildfire	2	"53.744282, -2.473274"	Tyne and Wear	93	379	0.02	no
droughts	1	"51.720686, -1.629782"	County Durham	62	96	0.04	no
volcanoes	6	"54.894814,-2.930434"	Northumberland	98	480	0.02	no
earthquakes	3	"50.750023, -4.395419"	Buckinghamshire	33	137	0.04	no
floods	4	"52.500734, -1.706293"	City of London	38	238	0.03	no
floods	4	"52.502267, -1.70836"	Cheshire	44	501	0.02	no
earthquakes	3	"50.750926, -4.391852"	Shropshire	17	398	0.02	no
severestorms	9	"51.22787, -2.193757"	Merseyside	67	571	0.02	no
floods	4	"52.500609, -1.707671"	Cambridgeshire	73	619	0.01	no
severestorms	9	"51.230545, -2.190775"	County Durham	55	494	0.02	no
volcanoes	6	"54.894814,-2.930434"	0	35	534	0.02	no
dusthaze	8	"52.250454,0.398549"	West Midlands	22	609	0.01	no
volcanoes	6	"54.894791,-2.931089"	East Sussex	97	59	0.04	no
dusthaze	8	"52.352438,0.420868"	Nottinghamshire	21	425	0.02	no
droughts	1	"51.360609, 0.159776"	Derbyshire	60	38	0.07	yes
volcanoes	6	"54.894814,-2.930434"	Nottinghamshire	78	111	0.04	no
earthquakes	3	"53.621367, -0.559812"	Derbyshire	42	265	0.03	no
earthquakes	3	"50.750023, -4.395419"	Surrey	10	550	0.02	no
volcanoes	6	"54.894791,-2.931089"	Lincolnshire	84	463	0.02	no
floods	4	"52.500734, -1.706293"	Lincolnshire	75	254	0.03	no
dusthaze	8	"52.24757,0.401394"	Lincolnshire	20	70	0.04	no
earthquakes	3	"53.622245, -0.559065"	West Sussex	24	395	0.02	no
dusthaze	8	"52.352438,0.420868"	Oxfordshire	49	573	0.02	no
dusthaze	8	"52.25256,0.397124"	County Durham	55	629	0.01	no
floods	4	"51.430593,-2.408768"	East Sussex	59	625	0.01	no
volcanoes	6	"54.893532,-2.930093"	Derbyshire	72	666	0.01	no
dusthaze	8	"52.24757,0.401394"	North Yorkshire	37	498	0.02	no
tempextremes	5	"52.192267,0.137208"	Shropshire	65	623	0.01	no
dusthaze	8	"52.352438,0.420868"	Greater London	93	415	0.02	no
volcanoes	6	"54.894814,-2.930434"	West Midlands	40	445	0.02	no
floods	4	"51.441301,-2.337974"	Shropshire	65	361	0.02	no
wildfire	2	"53.647587, -2.308129"	Merseyside	77	322	0.02	no
floods	4	"52.501051, -1.707499"	Derbyshire	54	57	0.04	no
droughts	1	"50.814132, -0.37069"	Greater Manchester	64	635	0.01	no
watercolor	7	"53.190142,-2.886673"	Gloucestershire	66	296	0.03	no
volcanoes	6	"54.894814,-2.930434"	Surrey	36	482	0.02	no
severestorms	9	"51.230545, -2.190775"	Greater Manchester	20	685	0.01	no
dusthaze	8	"52.24757,0.401394"	Northumberland	81	15	0.07	yes
floods	4	"52.502298, -1.709848"	Kent	96	527	0.02	no
dusthaze	8	"52.501578, -1.703127"	Nottinghamshire	85	137	0.04	no
volcanoes	6	"54.893894,-2.929743"	City of London	42	258	0.03	no
watercolor	7	"53.18945,-2.888651"	Cheshire	50	572	0.02	no
dusthaze	8	"52.25256,0.397124"	Lincolnshire	85	634	0.01	no
volcanoes	6	"54.893894,-2.929743"	0	65	53	0.04	no
severestorms	9	"51.229835, -2.193459"	Nottinghamshire	34	580	0.02	no
wildfire	2	"52.914939, -1.465616"	Northumberland	45	616	0.01	no
volcanoes	6	"54.894791,-2.931089"	Oxfordshire	71	648	0.01	no
volcanoes	6	"54.894346,-2.931702"	Cambridgeshire	17	586	0.02	no
dusthaze	8	"52.24757,0.401394"	Greater Manchester	81	483	0.02	no
volcanoes	6	"54.894814,-2.930434"	Buckinghamshire	69	299	0.03	no
tempextremes	5	"51.378849,-2.355562"	Tyne and Wear	58	422	0.02	no
watercolor	7	"53.188607,-2.889651"	Surrey	20	321	0.02	no
watercolor	7	"53.190042,-2.887631"	Gloucestershire	96	311	0.02	no
volcanoes	6	"54.894346,-2.931702"	Cambridgeshire	47	313	0.02	no
floods	4	"52.500734, -1.706293"	East Sussex	16	246	0.03	no
wildfire	2	"53.742346, -2.47627"	North Yorkshire	82	207	0.03	no
volcanoes	6	"54.894814,-2.930434"	Greater Manchester	78	267	0.03	no
volcanoes	6	"54.893917,-2.931381"	Tyne and Wear	17	436	0.02	no
volcanoes	6	"54.893917,-2.931381"	Lincolnshire	91	639	0.01	no
tempextremes	5	"52.192267,0.137208"	Shropshire	49	540	0.02	no
floods	4	"51.441301,-2.337974"	Tyne and Wear	19	501	0.02	no
tempextremes	5	"52.192267,0.137208"	Essex	62	644	0.01	no
droughts	1	"51.406423, 0.012595"	Surrey	88	331	0.02	no
tempextremes	5	"52.192267,0.137208"	Kent	70	588	0.02	no
earthquakes	3	"53.622245, -0.559065"	Kent	26	630	0.01	no
tempextremes	5	"52.192267,0.137208"	City of London	54	321	0.02	no
earthquakes	3	"53.625017, -0.559379"	Surrey	40	648	0.01	no
watercolor	7	"53.188607,-2.889651"	Gloucestershire	28	562	0.02	no
floods	4	"52.502298, -1.709848"	Merseyside	41	351	0.02	no
wildfire	2	"53.743042, -2.477049"	Oxfordshire	10	675	0.01	no
tempextremes	5	"51.378849,-2.355562"	Cheshire	27	427	0.02	no
severestorms	9	"51.230545, -2.190775"	County Durham	53	190	0.03	no
tempextremes	5	"51.378849,-2.355562"	Greater Manchester	93	58	0.04	no
droughts	1	"51.303163, -0.086941"	West Sussex	38	615	0.01	no
droughts	1	"50.784212, -1.791718"	Derbyshire	98	154	0.03	no
watercolor	7	"53.187754,-2.887104"	West Midlands	95	625	0.01	no
dusthaze	8	"52.352438,0.420868"	Oxfordshire	25	152	0.03	no
droughts	1	"51.343614, -0.770118"	West Sussex	96	471	0.02	no
earthquakes	3	"53.62355, -0.558431"	County Durham	64	490	0.02	no
watercolor	7	"53.190042,-2.887631"	Greater London	31	152	0.03	no
earthquakes	3	"53.62355, -0.558431"	Greater Manchester	67	248	0.03	no
watercolor	7	"53.187754,-2.887104"	Cheshire	19	633	0.01	no
dusthaze	8	"52.252009,0.397695"	West Midlands	54	576	0.02	no
dusthaze	8	"52.352438,0.420868"	Cambridgeshire	86	244	0.03	no
earthquakes	3	"50.748493, -4.414607"	Greater London	20	181	0.03	no
watercolor	7	"53.188509,-2.892222"	Essex	18	63	0.04	no
watercolor	7	"53.18945,-2.888651"	City of London	74	482	0.02	no
earthquakes	3	"50.750023, -4.395419"	Shropshire	27	682	0.01	no
earthquakes	3	"53.620984, -0.566366"	Merseyside	52	548	0.02	no
droughts	1	"51.301148, -0.080311"	Derbyshire	58	396	0.02	no
volcanoes	6	"54.893917,-2.931381"	Northumberland	22	418	0.02	no
earthquakes	3	"53.621936, -0.561011"	Cambridgeshire	23	74	0.04	no
floods	4	"52.502298, -1.709848"	Greater London	58	37	0.07	yes
earthquakes	3	"53.621367, -0.559812"	West Sussex	65	410	0.02	no
earthquakes	3	"53.620984, -0.566366"	County Durham	64	356	0.02	no
volcanoes	6	"54.893532,-2.930093"	Cambridgeshire	47	544	0.02	no
earthquakes	3	"53.621041, -0.559832"	Gloucestershire	23	143	0.04	no
severestorms	9	"52.388014, -1.958608"	Oxfordshire	44	148	0.04	no
volcanoes	6	"54.894791,-2.931089"	Greater Manchester	40	285	0.03	no
droughts	1	"51.594468, -0.678726"	Buckinghamshire	56	321	0.02	no
volcanoes	6	"54.894346,-2.931702"	Nottinghamshire	88	149	0.04	no
wildfire	2	"53.792217, -1.7505"	Cambridgeshire	45	335	0.02	no
severestorms	9	"51.230545, -2.190775"	Essex	78	258	0.03	no
volcanoes	6	"54.894814,-2.930434"	Surrey	19	253	0.03	no
floods	4	"52.502267, -1.70836"	Kent	19	282	0.03	no
dusthaze	8	"52.501578, -1.703127"	Surrey	95	260	0.03	no
watercolor	7	"53.18945,-2.888651"	County Durham	93	330	0.02	no
watercolor	7	"53.18945,-2.888651"	Gloucestershire	95	260	0.03	no
droughts	1	"51.588532, -0.681829"	City of London	78	163	0.03	no
tempextremes	5	"52.192267,0.137208"	Shropshire	56	491	0.02	no
earthquakes	3	"50.736206, -4.392418"	County Durham	27	376	0.02	no
earthquakes	3	"50.748493, -4.414607"	Kent	79	502	0.02	no
dusthaze	8	"52.25256,0.397124"	Merseyside	39	622	0.01	no
wildfire	2	"53.744136, -2.480475"	Northumberland	26	661	0.01	no
watercolor	7	"53.188607,-2.889651"	Suffolk	24	375	0.02	no
severestorms	9	"51.230545, -2.190775"	Gloucestershire	33	73	0.04	no
wildfire	2	"52.914939, -1.465616"	Northumberland	85	550	0.02	no
watercolor	7	"53.188607,-2.889651"	Surrey	23	449	0.02	no
severestorms	9	"51.231182, -2.186065"	County Durham	35	685	0.01	no
dusthaze	8	"52.352438,0.420868"	Suffolk	87	453	0.02	no
dusthaze	8	"52.252009,0.397695"	Derbyshire	75	365	0.02	no
droughts	1	"51.360609, 0.159776"	North Yorkshire	89	207	0.03	no
earthquakes	3	"50.750926, -4.391852"	Buckinghamshire	58	29	0.07	yes
tempextremes	5	"52.192267,0.137208"	Greater London	47	484	0.02	no
droughts	1	"51.303163, -0.086941"	Essex	65	651	0.01	no
dusthaze	8	"52.252009,0.397695"	0	92	149	0.04	no
wildfire	2	"52.914939, -1.465616"	Suffolk	31	437	0.02	no
tempextremes	5	"51.378849,-2.355562"	0	77	307	0.02	no
earthquakes	3	"53.62355, -0.558431"	Gloucestershire	66	612	0.01	no
wildfire	2	"53.745902, -2.472686"	Northumberland	13	5	0.07	yes
watercolor	7	"53.190042,-2.887631"	Merseyside	16	481	0.02	no
droughts	1	"51.301148, -0.080311"	Greater London	80	52	0.04	no
wildfire	2	"53.792524, -1.751014"	Essex	43	323	0.02	no
floods	4	"52.500609, -1.707671"	Buckinghamshire	24	490	0.02	no
volcanoes	6	"54.894791,-2.931089"	Tyne and Wear	37	439	0.02	no
volcanoes	6	"54.894791,-2.931089"	Merseyside	49	684	0.01	no
severestorms	9	"51.182197, -2.104447"	Gloucestershire	78	397	0.02	no
severestorms	9	"51.231182, -2.186065"	0	14	494	0.02	no
dusthaze	8	"52.352438,0.420868"	Buckinghamshire	40	121	0.04	no
watercolor	7	"53.187754,-2.887104"	Cambridgeshire	43	549	0.02	no
wildfire	2	"52.914939, -1.465616"	Suffolk	56	94	0.04	no
volcanoes	6	"54.893917,-2.931381"	Oxfordshire	32	226	0.03	no
dusthaze	8	"52.250454,0.398549"	Shropshire	39	97	0.04	no
droughts	1	"51.736885, -1.655441"	North Yorkshire	90	152	0.03	no
severestorms	9	"51.229835, -2.193459"	Kent	62	562	0.02	no
droughts	1	"50.844031, -0.153183"	Lincolnshire	32	225	0.03	no
tempextremes	5	"51.378849,-2.355562"	Lincolnshire	90	143	0.04	no
floods	4	"52.501834, -1.708503"	County Durham	20	694	0.01	no
floods	4	"52.500734, -1.706293"	North Yorkshire	15	257	0.03	no
droughts	1	"51.590289, -0.681345"	Derbyshire	45	480	0.02	no
severestorms	9	"51.182197, -2.104447"	0	55	265	0.03	no
floods	4	"52.502267, -1.70836"	Gloucestershire	21	274	0.03	no
volcanoes	6	"54.894814,-2.930434"	Gloucestershire	39	448	0.02	no
droughts	1	"51.406423, 0.012595"	0	20	413	0.02	no
droughts	1	"51.428039, 0.014365"	Lincolnshire	93	560	0.02	no
dusthaze	8	"52.252009,0.397695"	Northumberland	21	673	0.01	no
tempextremes	5	"51.378849,-2.355562"	Northumberland	37	583	0.02	no
dusthaze	8	"52.501578, -1.703127"	East Sussex	71	503	0.02	no
droughts	1	"51.720989, -1.647817"	0	93	524	0.02	no
tempextremes	5	"51.378849,-2.355562"	Oxfordshire	51	130	0.04	no
tempextremes	5	"52.192267,0.137208"	Suffolk	52	327	0.02	no
droughts	1	"51.343614, -0.770118"	West Sussex	94	399	0.02	no
wildfire	2	"53.792217, -1.7505"	City of London	78	134	0.04	no
floods	4	"52.501381, -1.706348"	North Yorkshire	98	573	0.02	no
volcanoes	6	"54.894346,-2.931702"	Tyne and Wear	85	571	0.02	no
watercolor	7	"53.187754,-2.887104"	Lincolnshire	78	45	0.07	yes
earthquakes	3	"50.750926, -4.391852"	Suffolk	22	596	0.02	no
watercolor	7	"53.188607,-2.889651"	Derbyshire	13	671	0.01	no
volcanoes	6	"54.894346,-2.931702"	Northumberland	14	199	0.03	no
tempextremes	5	"52.192267,0.137208,,"	Cheshire	32	485	0.02	no
dusthaze	8	"52.24757,0.401394"	East Sussex	56	222	0.03	no
tempextremes	5	"52.192267,0.137208,,"	Cheshire	20	568	0.02	no
earthquakes	3	"50.750926, -4.391852"	West Sussex	36	378	0.02	no
wildfire	2	"53.58222, -2.445691"	Kent	28	54	0.04	no
floods	4	"52.502298, -1.709848"	East Sussex	59	186	0.03	no
volcanoes	6	"54.893917,-2.931381"	Greater Manchester	88	292	0.03	no
dusthaze	8	"52.352438,0.420868"	North Yorkshire	77	309	0.02	no
severestorms	9	"51.229835, -2.193459"	Kent	10	316	0.02	no
floods	4	"52.500734, -1.706293"	County Durham	54	384	0.02	no
droughts	1	"51.588532, -0.681829"	East Sussex	68	700	0.01	no
severestorms	9	"51.182197, -2.104447"	Tyne and Wear	69	118	0.04	no
watercolor	7	"53.18945,-2.888651"	Oxfordshire	86	165	0.03	no
floods	4	"51.430593,-2.408768"	East Sussex	94	598	0.02	no
droughts	1	"51.428039, 0.014365"	Shropshire	88	401	0.02	no
wildfire	2	"53.792524, -1.751014"	Cheshire	14	221	0.03	no
dusthaze	8	"52.252009,0.397695"	Greater Manchester	75	564	0.02	no
tempextremes	5	"52.192267,0.137208"	Cheshire	10	524	0.02	no
tempextremes	5	"51.378849,-2.355562"	Lincolnshire	70	422	0.02	no
floods	4	"51.441506,-2.354437"	Cambridgeshire	51	628	0.01	no
watercolor	7	"53.18945,-2.888651"	Northumberland	89	132	0.04	no
droughts	1	"50.772348, -1.779397"	Buckinghamshire	82	608	0.01	no
earthquakes	3	"53.621936, -0.561011"	West Midlands	49	249	0.03	no
volcanoes	6	"54.893894,-2.929743"	North Yorkshire	30	213	0.03	no
volcanoes	6	"54.893894,-2.929743"	West Midlands	84	439	0.02	no
earthquakes	3	"53.622259, -0.563994"	East Sussex	77	516	0.02	no
wildfire	2	"53.792789, -1.750545"	Gloucestershire	31	80	0.04	no
droughts	1	"51.360609, 0.159776"	Gloucestershire	80	308	0.02	no
tempextremes	5	"51.378849,-2.355562"	City of London	62	328	0.02	no
severestorms	9	"51.230545, -2.190775"	City of London	54	427	0.02	no
earthquakes	3	"53.620984, -0.566366"	Northumberland	58	102	0.04	no
watercolor	7	"53.188607,-2.889651"	Northumberland	82	171	0.03	no
droughts	1	"51.360609, 0.159776"	Shropshire	61	682	0.01	no
watercolor	7	"53.187754,-2.887104"	Oxfordshire	76	186	0.03	no
volcanoes	6	"54.894814,-2.930434"	Oxfordshire	42	566	0.02	no
wildfire	2	"53.582279, -2.446658"	Surrey	87	669	0.01	no
droughts	1	"51.303163, -0.086941"	Shropshire	97	492	0.02	no
wildfire	2	"53.792789, -1.750545"	Suffolk	91	135	0.04	no
dusthaze	8	"52.250454,0.398549"	County Durham	93	165	0.03	no
wildfire	2	"53.792723, -1.751681"	Buckinghamshire	60	619	0.01	no
volcanoes	6	"54.894814,-2.930434"	Shropshire	84	515	0.02	no
droughts	1	"50.850164, -0.150313"	Buckinghamshire	66	373	0.02	no
volcanoes	6	"54.893917,-2.931381"	City of London	20	627	0.01	no
severestorms	9	"51.230545, -2.190775"	Greater London	48	81	0.04	no
droughts	1	"51.588532, -0.681829"	North Yorkshire	87	32	0.07	yes
watercolor	7	"53.188509,-2.892222"	West Midlands	91	688	0.01	no
dusthaze	8	"52.25256,0.397124"	West Sussex	56	300	0.03	no
tempextremes	5	"51.378849,-2.355562"	Buckinghamshire	84	388	0.02	no
severestorms	9	"51.229835, -2.193459"	Essex	91	588	0.02	no
earthquakes	3	"53.655566, -0.787796"	West Sussex	30	392	0.02	no
severestorms	9	"51.182197, -2.104447"	Northumberland	49	9	0.07	yes
severestorms	9	"52.388014, -1.958608"	City of London	13	487	0.02	no
tempextremes	5	"51.378849,-2.355562"	Suffolk	63	205	0.03	no
tempextremes	5	"52.192267,0.137208"	Surrey	70	25	0.07	yes
wildfire	2	"53.745902, -2.472686"	Buckinghamshire	51	238	0.03	no
severestorms	9	"51.182197, -2.104447"	Buckinghamshire	76	686	0.01	no
severestorms	9	"51.229835, -2.193459"	Shropshire	74	530	0.02	no
floods	4	"51.438727,-2.347839"	North Yorkshire	27	279	0.03	no
watercolor	7	"53.190042,-2.887631"	City of London	10	549	0.02	no
droughts	1	"50.772348, -1.779397"	North Yorkshire	93	519	0.02	no
droughts	1	"50.844031, -0.153183"	Buckinghamshire	33	213	0.03	no
dusthaze	8	"52.250454,0.398549"	Suffolk	35	692	0.01	no
wildfire	2	"53.744282, -2.473274"	0	34	142	0.04	no
watercolor	7	"53.188607,-2.889651"	Cheshire	15	229	0.03	no
dusthaze	8	"52.25256,0.397124"	City of London	40	108	0.04	no
droughts	1	"51.737307, -1.65496"	North Yorkshire	48	324	0.02	no
volcanoes	6	"54.893894,-2.929743"	Nottinghamshire	40	570	0.02	no
earthquakes	3	"53.621041, -0.559832"	Lincolnshire	14	509	0.02	no
wildfire	2	"52.914939, -1.465616"	Greater Manchester	59	559	0.02	no
volcanoes	6	"54.893917,-2.931381"	City of London	34	181	0.03	no
droughts	1	"51.430134, -0.006175"	Buckinghamshire	94	136	0.04	no
tempextremes	5	"52.192267,0.137208"	Oxfordshire	96	679	0.01	no
earthquakes	3	"53.621956, -0.568707"	Oxfordshire	58	543	0.02	no
dusthaze	8	"52.24757,0.401394"	Greater Manchester	40	613	0.01	no
volcanoes	6	"54.894346,-2.931702"	Greater London	43	400	0.02	no
tempextremes	5	"52.192267,0.137208"	Gloucestershire	31	186	0.03	no
tempextremes	5	"52.192267,0.137208"	West Sussex	20	669	0.01	no
wildfire	2	"53.547162, -2.007025"	Greater Manchester	68	85	0.04	no
volcanoes	6	"54.894814,-2.930434"	Northumberland	100	32	0.07	yes
tempextremes	5	"51.378849,-2.355562"	Tyne and Wear	33	166	0.03	no
tempextremes	5	"51.378849,-2.355562"	West Sussex	61	693	0.01	no
watercolor	7	"53.190042,-2.887631"	Essex	52	294	0.03	no
dusthaze	8	"52.24757,0.401394"	Merseyside	84	421	0.02	no
wildfire	2	"52.914939, -1.465616"	Gloucestershire	35	211	0.03	no
droughts	1	"51.588532, -0.681829"	Greater Manchester	71	544	0.02	no
severestorms	9	"51.182197, -2.104447"	Oxfordshire	100	327	0.02	no
wildfire	2	"53.743042, -2.477049"	Gloucestershire	18	389	0.02	no
floods	4	"51.441301,-2.337974"	North Yorkshire	84	345	0.02	no
wildfire	2	"53.802228, -1.75588"	Northumberland	29	204	0.03	no
severestorms	9	"51.182197, -2.104447"	Gloucestershire	94	185	0.03	no
earthquakes	3	"50.756389, -4.388045"	City of London	38	225	0.03	no
severestorms	9	"52.388014, -1.958608"	0	82	107	0.04	no
watercolor	7	"53.190142,-2.886673"	North Yorkshire	78	221	0.03	no
tempextremes	5	"52.192267,0.137208"	Buckinghamshire	52	120	0.04	no
wildfire	2	"53.74219, -2.474858"	County Durham	78	539	0.02	no
tempextremes	5	"51.378849,-2.355562"	0	67	324	0.02	no
